	colon_polyA_3	colon_polyA_4	colon_polyA_1	colon_polyA_2	colon_total_3	colon_total_4	colon_total_1	colon_total_2	pbmc_polyA_3	pbmc_polyA_4	pbmc_polyA_1	pbmc_polyA_2	pbmc_total_3	pbmc_total_4	pbmc_total_1	pbmc_total_2
MANF	44641	43361	45022	45611	100036	103386	104506	94565	13139	12393	13064	11843	62718	62734	68045	62587
RBM15B	110243	106108	114097	109077	183744	191359	186827	204925	59790	58628	71508	71586	207399	215719	206986	214237
DCAF1	77824	76558	75576	79574	114378	105649	101681	109200	60707	57337	68351	62703	122464	117018	113741	120819
RAD54L2	75600	78209	80323	81880	59323	66020	62047	64554	49193	50941	62627	53994	66185	72077	63785	70388
TEX264	72372	66939	73777	64997	123883	143752	137654	152187	35296	32120	36209	37056	198389	194893	211798	206282
GRM2	304	163	75	226	226	151	304	151	3141	2912	3499	2118	2204	3679	2697	3635
IQCF6	0	0	0	0	0	0	0	0	25	290	0	225	0	9	0	0
IQCF3	0	0	0	0	0	0	0	76	207	305	100	148	0	0	0	0
IQCF2	75	0	106	23	0	0	0	0	272	267	438	277	0	0	0	3
IQCF5	0	0	0	0	0	0	0	0	150	61	150	76	0	0	0	0
IQCF1	0	0	0	0	0	0	75	0	180	224	4	27	0	0	152	0
RRP9	13191	10684	13696	12397	20134	28451	22827	27264	7416	5530	6780	7121	50173	47957	50198	53303
PARP3	62516	58933	66297	61751	138568	159999	157567	156018	2075	3061	2508	1882	38419	37192	39250	36431
GPR62	152	684	491	386	408	374	389	600	76	604	157	76	284	20	150	0
PCBP4	36650	34661	37864	29858	79758	90381	89082	94219	5223	4387	6065	4628	56703	53855	54415	59154
ABHD14A	16230	19275	18968	13529	30506	39830	34235	40010	6105	5815	6740	5321	70066	71023	68834	63817
ABHD14B	108942	100563	108964	103267	288660	330708	321060	333022	6115	7529	9117	8754	281442	277801	281289	278455
ABHD14A-ACY1	388291	367356	373734	332216	689225	807518	785641	847242	7053	6638	5915	6485	65408	64284	69568	63784
ACY1	399914	376842	383541	337465	691920	810098	787345	850255	4005	4599	3242	4376	39038	36984	40154	38856
RPL29	204278	185949	189062	133552	443736	507852	490957	557059	81977	83526	74841	87527	793314	778803	879671	811511
DUSP7	14099	10083	12509	11407	26166	30129	28725	32560	16912	15534	19236	20548	182241	192480	181126	178015
POC1A	7930	7324	7090	7929	14586	20727	21310	16263	2091	1335	2175	2029	8078	6825	7414	8869
ALAS1	110266	107001	105073	107355	207368	235944	228378	237693	15530	13746	18624	16235	132614	130078	135096	130265
TLR9	2450	2117	1869	1341	5680	6792	5039	6919	3580	3674	3496	3614	54488	57256	56621	60921
TWF2	42718	43962	46325	36287	82096	94033	92818	102508	60726	60737	70669	67403	566859	553953	590608	557921
PPM1M	16584	17092	17982	16011	29783	35690	33329	33063	70100	64904	75742	74795	550737	541233	560488	559693
WDR82	196098	191099	191800	198146	315402	308119	304359	313212	245355	245250	242075	240788	530970	568126	536411	537298
GLYCTK	102614	92735	93575	83150	134500	154676	159106	170614	13626	10870	10956	11453	84306	85847	84874	77940
DNAH1	68693	66177	73731	67668	77312	83243	94110	92279	77097	80108	95391	92836	151040	182396	174589	185746
BAP1	106861	103398	98646	93589	161767	183875	179465	195020	40384	33122	44877	39922	338366	340028	329466	356072
PHF7	14156	11332	13477	11647	21927	24228	23727	23076	5311	4835	5820	6510	10439	11320	8948	12316
SEMA3G	12606	12149	13201	14412	22515	26757	23685	26164	1319	1425	1141	1196	1483	1553	2042	1847
TNNC1	283	288	136	448	435	594	590	815	334	446	652	413	1955	1954	1870	2504
NISCH	111810	106280	109662	99614	167901	201748	194052	206855	55906	51352	58757	61551	411768	459009	435447	428782
STAB1	534921	516301	515657	443454	336089	391894	364933	412461	48466	46324	62417	60763	391243	421102	416590	400615
NT5DC2	16357	14911	14179	21131	53131	57784	56386	63285	2572	2488	4183	2230	31444	20112	19224	20170
SMIM4	16946	17591	16171	16951	24781	26613	26131	26257	9004	8950	9397	6542	10747	10596	10105	10689
PBRM1	208014	196694	195742	216812	171580	154006	153218	148021	164823	152591	159178	154709	86136	79602	90768	76764
GNL3	111165	102923	98945	107208	147335	130304	130990	130313	29515	27003	25347	28724	49440	46377	52669	49393
GLT8D1	66509	65731	62013	63244	109560	114815	113310	112706	32855	28334	32332	27555	87786	93461	89205	82683
SPCS1	112950	111853	116528	113572	305434	301734	296999	298254	19550	16670	18961	17386	316467	287021	291844	284589
NEK4	73449	71784	73371	76279	67504	59502	58854	55471	35110	35779	37000	35317	40874	44398	41317	41782
ITIH1	304	151	225	0	302	285	297	228	1234	1004	918	802	1246	1668	1852	2906
ITIH3	1350	2569	1700	2104	1775	2089	3039	2868	746	1797	881	1605	1620	2215	1308	1546
ITIH4	7310	7153	5496	8450	10928	13646	16171	14619	11722	9478	12193	10490	67273	73075	71604	73212
MUSTN1	3940	4691	3597	4079	14303	17082	15571	15823	925	1091	2154	1216	21932	20444	23860	22944
